"c_chave"|"c_codprod"|"c_data"|"c_prcusto"
"0000010440"|"00048"|2023-09-06|0.000
"0000020466"|"19848"|2023-09-30|303.961
"0000010270"|"00048"|2023-09-06|0.000
"0000020467"|"19848"|2023-09-30|1.970
"0000010402"|"00048"|2023-09-06|0.000
"0000020466"|"12513"|2023-09-30|8.846
"0000010272"|"00048"|2023-09-06|0.000
"0000020467"|"12513"|2023-09-30|8.850
"0000010459"|"00048"|2023-09-06|0.000
"0000020466"|"17987"|2023-09-30|1.047
"0000020467"|"19475"|2023-09-30|1.559
"0000020467"|"17987"|2023-09-30|1.047
"0000010353"|"00048"|2023-09-06|0.000
"0000020466"|"19475"|2023-09-30|1.559
"0000015182"|"01286"|2023-09-29|23.868
"0000010403"|"00048"|2023-09-06|0.000
"0000010356"|"00048"|2023-09-06|0.000
"0000020466"|"17988"|2023-09-30|1.047
"0000015214"|"00658"|2023-09-29|31.238
"0000010405"|"00048"|2023-09-06|0.000
"0000020467"|"17988"|2023-09-30|1.047
"0000010302"|"00048"|2023-09-06|0.000
"0000020466"|"18688"|2023-09-30|0.685
"0000010182"|"00048"|2023-09-06|0.000
"0000020467"|"18688"|2023-09-30|0.685
"0000010181"|"00048"|2023-09-06|0.000
"0000020466"|"06639"|2023-09-30|0.872
"0000020467"|"06639"|2023-09-30|0.872
"0000010370"|"00048"|2023-09-06|0.000
"0000013137"|"19853"|2023-09-20|0.030
"0000013136"|"19966"|2023-09-20|925.810
"0000020466"|"11561"|2023-09-30|68.812
"0000010586"|"00048"|2023-09-07|0.000
"0000020467"|"11561"|2023-09-30|68.810
"0000010554"|"00048"|2023-09-07|0.000
"0000020466"|"01241"|2023-09-30|0.687
"0000010596"|"00048"|2023-09-07|0.000
"0000020467"|"01241"|2023-09-30|0.690
"0000010474"|"00048"|2023-09-07|0.000
"0000015206"|"11114"|2023-09-29|74.896
"0000015206"|"11118"|2023-09-29|81.320
"0000020466"|"19909"|2023-09-30|23.970
"0000015206"|"14887"|2023-09-29|52.309
"0000015206"|"19480"|2023-09-29|79.513
"0000020467"|"19909"|2023-09-30|23.970
"0000014580"|"15706"|2023-09-27|2.260
"0000010488"|"00048"|2023-09-07|0.000
"0000013171"|"00112"|2023-09-20|4.220
"0000010616"|"00048"|2023-09-07|0.000
"0000020466"|"08413"|2023-09-30|6.780
"0000013310"|"19295"|2023-09-21|15.110
"0000015225"|"02468"|2023-09-29|22.278
