"c_chave"|"c_mov"
"0000009195"|"5"
"0000009180"|"5"
"0000014594"|"5"
"0000010745"|"5"
"0000010738"|"5"
"0000011912"|"5"
"0000010760"|"5"
"0000010763"|"5"
"0000010766"|"5"
"0000010777"|"5"
"0000009737"|"5"
"0000010770"|"5"
"0000014782"|"5"
"0000009457"|"5"
"0000010836"|"5"
"0000010831"|"5"
"0000010833"|"5"
"0000010857"|"5"
"0000014796"|"5"
"0000012244"|"5"
"0000009508"|"5"
"0000010865"|"5"
"0000009542"|"5"
"0000009543"|"5"
"0000009265"|"5"
"0000010882"|"5"
"0000009855"|"5"
"0000009856"|"5"
"0000009861"|"5"
"0000009891"|"5"
"0000010910"|"5"
"0000010926"|"5"
"0000012069"|"5"
"0000010931"|"5"
"0000010939"|"5"
"0000010944"|"5"
"0000010949"|"5"
"0000010965"|"5"
"0000012759"|"5"
"0000010988"|"5"
"0000009309"|"5"
"0000009310"|"5"
"0000012780"|"5"
"0000009385"|"5"
"0000009443"|"5"
"0000012276"|"5"
"0000012466"|"5"
"0000009478"|"5"
"0000014838"|"5"
"0000012475"|"5"
"0000014848"|"5"
"0000009678"|"5"
"0000009684"|"5"
"0000014869"|"5"
"0000014870"|"5"
"0000012509"|"5"
"0000012523"|"5"
"0000014878"|"5"
"0000014880"|"5"
"0000014883"|"5"
"0000012538"|"5"
"0000014892"|"5"
"0000009750"|"5"
"0000013007"|"5"
"0000012593"|"5"
"0000012607"|"5"
"0000014911"|"5"
"0000009663"|"5"
"0000011176"|"7"
"0000012625"|"5"
"0000009667"|"5"
"0000012636"|"5"
"0000012646"|"5"
"0000012662"|"5"
"0000012672"|"5"
"0000012674"|"5"
"0000009896"|"5"
"0000009910"|"5"
"0000014605"|"5"
"0000011297"|T
"0000014977"|"5"
"0000012733"|"5"
"0000014604"|"5"
"0000012752"|"5"
"0000009843"|"5"
"0000010144"|"5"
"0000014994"|"5"
"0000011034"|"5"
"0000013407"|"5"
"0000012785"|"5"
"0000012788"|"5"
"0000009911"|"5"
"0000015008"|"5"
"0000009946"|"5"
"0000013467"|"5"
"0000012901"|"5"
"0000015078"|"5"
