"c_chave";"c_codprod";"c_descr"
"0000003422";"00002";"CARNE BOVINA PATINHO"
"0000003552";"00002";"CARNE BOVINA PATINHO"
"0000003721";"00002";"CARNE BOVINA PATINHO"
"0000003943";"00002";"CARNE BOVINA PATINHO"
"0000004056";"00002";"CARNE BOVINA PATINHO"
"0000004155";"00002";"CARNE BOVINA PATINHO"
"0000004257";"00002";"CARNE BOVINA PATINHO"
"0000004263";"00002";"CARNE BOVINA PATINHO"
"0000004366";"00002";"CARNE BOVINA PATINHO"
"0000004476";"00002";"CARNE BOVINA PATINHO"
"0000004537";"00002";"CARNE BOVINA PATINHO"
"0000004558";"00002";"CARNE BOVINA PATINHO"
"0000003422";"00005";"PEITO DE FRANGO"
"0000003552";"00005";"PEITO DE FRANGO"
"0000003721";"00005";"PEITO DE FRANGO"
"0000003943";"00005";"PEITO DE FRANGO"
"0000004056";"00005";"PEITO DE FRANGO"
"0000004155";"00005";"PEITO DE FRANGO"
"0000004257";"00005";"PEITO DE FRANGO"
"0000004263";"00005";"PEITO DE FRANGO"
"0000004366";"00005";"PEITO DE FRANGO"
"0000004476";"00005";"PEITO DE FRANGO"
"0000004537";"00005";"PEITO DE FRANGO"
"0000004558";"00005";"PEITO DE FRANGO"
"0000003422";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000003552";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000003721";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000003943";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004056";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004155";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004257";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004263";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004366";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004476";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004537";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000004558";"00008";"CARNE BOVINA COM OSSO TIPO COSTELA"
"0000003422";"00013";"FRANGO RESFRIADO"
"0000003552";"00013";"FRANGO RESFRIADO"
"0000003721";"00013";"FRANGO RESFRIADO"
"0000003943";"00013";"FRANGO RESFRIADO"
"0000004056";"00013";"FRANGO RESFRIADO"
"0000004155";"00013";"FRANGO RESFRIADO"
"0000004257";"00013";"FRANGO RESFRIADO"
"0000004263";"00013";"FRANGO RESFRIADO"
"0000004366";"00013";"FRANGO RESFRIADO"
"0000004476";"00013";"FRANGO RESFRIADO"
"0000004537";"00013";"FRANGO RESFRIADO"
"0000004558";"00013";"FRANGO RESFRIADO"
"0000003422";"00018";"CARNE SUINA LOMBO"
"0000003552";"00018";"CARNE SUINA LOMBO"
"0000003721";"00018";"CARNE SUINA LOMBO"
"0000003943";"00018";"CARNE SUINA LOMBO"
"0000004056";"00018";"CARNE SUINA LOMBO"
"0000004155";"00018";"CARNE SUINA LOMBO"
"0000004257";"00018";"CARNE SUINA LOMBO"
